deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=3.575 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.728
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=2.883 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.028
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.024 pixels_wall_ms=3.599 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.755
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=3.765 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.928
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=3.808 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.987
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=4.014 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=4.165
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=5.558 repairs=0 repair_GPU_ms=0.015 prepack_wall_ms=5.726
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=12.707 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=12.865
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.301 pixels_wall_ms=37.471 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=37.992
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=14.237 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.433
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=14.355 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.565
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=14.467 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=14.672
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=14.364 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=14.565
